timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1737464895294, 35330293, 6425866, 231936000, 157347840, 151727832, 3052146
1737464895795, 35330943, 6425984, 231936000, 157347840, 151729592, 3052146
1737464896296, 35330943, 6426802, 231936000, 157347840, 151731352, 3052146
1737464896798, 35330943, 6427593, 231936000, 157347840, 151733088, 3052146
1737464897298, 35330943, 6428431, 231936000, 157347840, 151734824, 3052146
1737464897799, 35330943, 6429205, 231936000, 157347840, 151736560, 3052146
1737464898300, 35330948, 6429977, 231936000, 157347840, 151738296, 3052146
1737464898801, 35331615, 6430098, 231936000, 157347840, 151740056, 3052146
1737464899302, 35332267, 6430217, 231936000, 157347840, 151741816, 3052146
1737464899803, 35332931, 6430338, 231936000, 157347840, 151743576, 3052146
1737464900304, 35332931, 6431149, 231936000, 157347840, 151745336, 3052146
1737464900806, 35332931, 6431940, 231936000, 157347840, 151747072, 3052146
1737464901306, 35332931, 6432706, 231936000, 157347840, 151748808, 3052146
1737464901807, 35332931, 6433466, 231936000, 157347840, 151750544, 3052146
1737464902308, 35332931, 6434252, 231936000, 157347840, 151752280, 3052146
1737464902809, 35333518, 6434436, 231936000, 157347840, 151754016, 3052146
1737464903310, 35334187, 6434558, 231936000, 157347840, 151755776, 3052146
1737464903811, 35334845, 6434678, 231936000, 157347840, 151757536, 3052146
1737464904313, 35335517, 6434800, 231936000, 157347840, 151759296, 3052146
1737464904813, 35336163, 6434918, 231936000, 157347840, 151761056, 3052146
1737464905314, 35336808, 6435035, 231936000, 157347840, 151762816, 3052146
1737464905816, 35337475, 6435157, 231936000, 157347840, 151764576, 3052146
1737464906316, 35338282, 6435157, 231936000, 157347840, 151766336, 3052146
1737464906817, 35339066, 6435157, 231936000, 157347840, 151768072, 3052146
1737464907318, 35339827, 6435157, 231936000, 157347840, 151769808, 3052146
1737464907819, 35340593, 6435157, 231936000, 157347840, 151771544, 3052146
1737464908319, 35341391, 6435157, 231936000, 157347840, 151773280, 3052146
1737464908820, 35341728, 6435619, 231936000, 157347840, 151775016, 3052146
1737464909322, 35341728, 6436418, 231936000, 157347840, 151776776, 3052146
1737464909822, 35341728, 6437183, 231936000, 157347840, 151778512, 3052146
1737464910323, 35341728, 6437973, 231936000, 157347840, 151780248, 3052146
1737464910824, 35341728, 6438734, 231936000, 157347840, 151781984, 3052146
1737464911325, 35341984, 6439243, 231936000, 157347840, 151783720, 3052146
1737464911827, 35342652, 6439364, 231936000, 157347840, 151785480, 3052146
1737464912327, 35343301, 6439483, 231936000, 157347840, 151787240, 3052146
1737464912828, 35344066, 6439542, 231936000, 157347840, 151789000, 3052146
1737464913330, 35344834, 6439542, 231936000, 157347840, 151790760, 3052146
1737464913830, 35345655, 6439542, 231936000, 157347840, 151792712, 3060338
1737464914332, 35346441, 6439542, 231936000, 157347840, 151794472, 3060338
1737464914832, 35347270, 6439542, 231936000, 157347840, 151796208, 3060338
1737464915333, 35348037, 6439542, 231936000, 157347840, 151797944, 3060338
1737464915834, 35348797, 6439542, 231936000, 157347840, 151799680, 3060338
1737464916335, 35349586, 6439542, 231936000, 157347840, 151801416, 3060338
1737464916836, 35349974, 6439997, 231936000, 157347840, 151803152, 3060338
1737464917337, 35349974, 6440777, 231936000, 157347840, 151804912, 3060338
1737464917838, 35349974, 6441551, 231936000, 157347840, 151806648, 3060338
1737464918340, 35349974, 6442315, 232206336, 157347840, 151808384, 3060338
1737464918840, 35350799, 6442315, 232206336, 157347840, 151810184, 3060338
1737464919341, 35351567, 6442315, 232206336, 157347840, 151811984, 3060338
1737464919843, 35352368, 6442315, 232206336, 157347840, 151813784, 3060338
1737464920343, 35353100, 6442351, 232206336, 157347840, 151815584, 3060338
1737464920844, 35353428, 6442846, 232206336, 157347840, 151817408, 3060338
1737464921345, 35353428, 6443613, 232206336, 157347840, 151819232, 3060338
1737464921846, 35353428, 6444400, 232206336, 157347840, 151821032, 3060338
